"","IDHH","STATEID","URBAN2011","educ_cat","income_quintile","GROUPS","CI7","CI8","WT","WTn"
"626","2705050301","(27) Maharashtra 27","(0) rural 0","College+","Q1 (Poorest)","(3) Other Backward Castes (OBC) 3","(1) A great deal of confidence","(1) A great deal of confidence",7383.66556396,1.20673036425218
"627","0404040701","(04) Chandigarh 04","(1) urban 1","College+","Q5 (Richest)","(7) Christian, Sikh, Jain 7","(2) Only some confidence","(1) A great deal of confidence",3916.37868853,0.640063264027985
"628","3315011811","(33) Tamil Nadu 33","(0) rural 0","College+","Q4","(3) Other Backward Castes (OBC) 3","(2) Only some confidence","(2) Only some confidence",4472.8083674,0.73100191546704
"629","2122020711","(21) Orissa 21","(0) rural 0","No education","Q1 (Poorest)","(4) Dalit 4","(2) Only some confidence","(2) Only some confidence",10328.51809228,1.68801475252594
"630","0710331109","(07) Delhi 07","(1) urban 1","Secondary","Q5 (Richest)","(4) Dalit 4","(1) A great deal of confidence","(1) A great deal of confidence",4407.66666667,0.72035564938565
"631","2804070901","(28) Andhra Pradesh 28","(0) rural 0","No education","Q5 (Richest)","(6) Muslim 6","(1) A great deal of confidence","(1) A great deal of confidence",14589.5257649,2.38440156695045
"632","0712011501","(07) Delhi 07","(1) urban 1","Higher secondary","Q5 (Richest)","(3) Other Backward Castes (OBC) 3","(2) Only some confidence","(3) Hardly any confidence at all",4407.66666667,0.72035564938565
"633","1918041409","(19) West Bengal 19","(1) urban 1","Primary","Q3","(2) Forward caste 2","(1) A great deal of confidence","(1) A great deal of confidence",5775.85751979,0.943962397585457
"634","0904024011","(09) Uttar Pradesh 09","(0) rural 0","Middle","Q1 (Poorest)","(6) Muslim 6","(3) Hardly any confidence at all","(1) A great deal of confidence",1068.07158565,0.174557528700904
"635","2501021701","(25) Daman & Diu 25","(0) rural 0","Middle","Q5 (Richest)","(3) Other Backward Castes (OBC) 3","(1) A great deal of confidence","(1) A great deal of confidence",225.35821216,0.0368308389771118
"636","2815081501","(28) Andhra Pradesh 28","(0) rural 0","Secondary","Q5 (Richest)","(3) Other Backward Castes (OBC) 3","(1) A great deal of confidence","(1) A great deal of confidence",10058.37203526,1.64386412747864
"637","2323030411","(23) Madhya Pradesh 23","(0) rural 0","Higher secondary","Q2","(2) Forward caste 2","(1) A great deal of confidence","(1) A great deal of confidence",2695.39299561,0.44051461204735
"638","1032031411","(10) Bihar 10","(1) urban 1","Middle","Q1 (Poorest)","(6) Muslim 6","(1) A great deal of confidence","(2) Only some confidence",4366.34554335,0.713602438021549
"639","2903040701","(29) Karnataka 29","(1) urban 1","College+","Q4","(6) Muslim 6","(1) A great deal of confidence","(1) A great deal of confidence",4741.77914111,0.774960461113599
"640","0808030411","(08) Rajasthan 08","(0) rural 0","Middle","Q5 (Richest)","(3) Other Backward Castes (OBC) 3","(2) Only some confidence","(1) A great deal of confidence",1373.71035576,0.224508813897876
"641","2920051509","(29) Karnataka 29","(1) urban 1","Higher secondary","Q4","(3) Other Backward Castes (OBC) 3","(2) Only some confidence","(1) A great deal of confidence",4741.77914111,0.774960461113599
"642","0949071701","(09) Uttar Pradesh 09","(0) rural 0","Secondary","Q1 (Poorest)","(2) Forward caste 2","(2) Only some confidence","(1) A great deal of confidence",9994.07547825,1.6333559852844
"643","2730090201","(27) Maharashtra 27","(1) urban 1","Secondary","Q2","(4) Dalit 4","(2) Only some confidence","(3) Hardly any confidence at all",9592.3,1.56769284479999
"644","0812020101","(08) Rajasthan 08","(1) urban 1","College+","Q4","(2) Forward caste 2","(1) A great deal of confidence","(2) Only some confidence",3810.71445498,0.62279430216403
"645","2727011112","(27) Maharashtra 27","(0) rural 0","No education","Q3","(2) Forward caste 2","(1) A great deal of confidence","(1) A great deal of confidence",4629.44764902,0.756601853022192
"646","0102011701","(01) Jammu & Kashmir 01","(0) rural 0","College+","Q5 (Richest)","(6) Muslim 6","(1) A great deal of confidence","(1) A great deal of confidence",3687.92630759,0.602726737545581
"647","1907031311","(19) West Bengal 19","(0) rural 0","No education","Q1 (Poorest)","(6) Muslim 6","(1) A great deal of confidence","(1) A great deal of confidence",8666.9489796,1.41646048409302
"648","0511050501","(05) Uttarakhand 05","(1) urban 1","College+","Q4","(2) Forward caste 2","(3) Hardly any confidence at all","(1) A great deal of confidence",6466.85824346,1.05689432113341
"649","2802081501","(28) Andhra Pradesh 28","(0) rural 0","No education","Q2","(5) Adivasi 5","(1) A great deal of confidence","(3) Hardly any confidence at all",2405.59197924,0.393151729341533
"650","0202080701","(02) Himachal Pradesh 02","(1) urban 1","Primary","Q2","(5) Adivasi 5","(2) Only some confidence","(1) A great deal of confidence",545.59105431,0.089167268749796
"651","1817080601","(18) Assam 18","(0) rural 0","College+","Q5 (Richest)","(2) Forward caste 2","(3) Hardly any confidence at all","(3) Hardly any confidence at all",2951.66052858,0.482397036261732
"652","0205011911","(02) Himachal Pradesh 02","(0) rural 0","No education","Q5 (Richest)","(2) Forward caste 2","(1) A great deal of confidence","(1) A great deal of confidence",1229.65311523,0.200965189822262
"653","2919031401","(29) Karnataka 29","(0) rural 0","Higher secondary","Q3","(6) Muslim 6","(2) Only some confidence","(1) A great deal of confidence",1319.66325384,0.215675764998013
"654","0905070601","(09) Uttar Pradesh 09","(0) rural 0","Higher secondary","Q3","(2) Forward caste 2","(1) A great deal of confidence","(1) A great deal of confidence",1654.5189394,0.270402041521162
"655","1911071901","(19) West Bengal 19","(0) rural 0","Primary","Q1 (Poorest)","(4) Dalit 4","(1) A great deal of confidence","(2) Only some confidence",13798.49166667,2.25512094647486
"656","0941021201","(09) Uttar Pradesh 09","(0) rural 0","College+","Q1 (Poorest)","(2) Forward caste 2","(1) A great deal of confidence","(1) A great deal of confidence",28103.47552432,4.59301913967328
"657","2726031511","(27) Maharashtra 27","(0) rural 0","College+","Q4","(7) Christian, Sikh, Jain 7","(2) Only some confidence","(2) Only some confidence",5593.888749,0.914222800205837
"658","3402020701","(34) Pondicherry 34","(0) rural 0","Primary","Q3","(4) Dalit 4","(1) A great deal of confidence","(1) A great deal of confidence",1710.8225532,0.279603877628315
"659","1802090501","(18) Assam 18","(0) rural 0","No education","Q2","(6) Muslim 6","(1) A great deal of confidence","(1) A great deal of confidence",2471.0646118,0.403852080414219
"660","3214040101","(32) Kerala 32","(0) rural 0","Higher secondary","Q5 (Richest)","(2) Forward caste 2","(2) Only some confidence","(2) Only some confidence",5574.93114766,0.911124513457581
"661","1204080501","(12) Arunachal Pradesh 12","(0) rural 0","Middle","Q4","(5) Adivasi 5","(1) A great deal of confidence","(1) A great deal of confidence",2221.57916667,0.363078069258184
"662","0920020901","(09) Uttar Pradesh 09","(1) urban 1","Secondary","Q4","(1) Brahmin 1","(2) Only some confidence","(1) A great deal of confidence",6466.85824346,1.05689432113341
"663","2320010313","(23) Madhya Pradesh 23","(0) rural 0","Primary","Q2","(4) Dalit 4","(1) A great deal of confidence","(1) A great deal of confidence",6309.07470715,1.03110737526012
"664","1817090601","(18) Assam 18","(1) urban 1","Secondary","Q5 (Richest)","(6) Muslim 6","(3) Hardly any confidence at all","(3) Hardly any confidence at all",3386.9209622,0.553532704183984
"665","1912010101","(19) West Bengal 19","(1) urban 1","Higher secondary","Q4","(4) Dalit 4","(2) Only some confidence","(1) A great deal of confidence",5775.85751979,0.943962397585457
"666","0601011511","(06) Haryana 06","(0) rural 0","No education","Q3","(4) Dalit 4","(1) A great deal of confidence","(1) A great deal of confidence",7223.44323376,1.18054484038077
"667","0210010511","(02) Himachal Pradesh 02","(0) rural 0","Secondary","Q3","(2) Forward caste 2","(1) A great deal of confidence","(2) Only some confidence",1498.93558854,0.24497467729014
"668","2202100501","(22) Chhattisgarh 22","(1) urban 1","College+","Q5 (Richest)","(3) Other Backward Castes (OBC) 3","(2) Only some confidence","(1) A great deal of confidence",5765.10772579,0.942205532689981
"669","1918021401","(19) West Bengal 19","(1) urban 1","Higher secondary","Q5 (Richest)","(2) Forward caste 2","(1) A great deal of confidence","(1) A great deal of confidence",5775.85751979,0.943962397585457
"670","2017011311","(20) Jharkhand 20","(0) rural 0","No education","Q1 (Poorest)","(5) Adivasi 5","(2) Only some confidence","(2) Only some confidence",24660.25487805,4.03028524162745
"671","0826030111","(08) Rajasthan 08","(0) rural 0","Secondary","Q1 (Poorest)","(5) Adivasi 5","(1) A great deal of confidence","(3) Hardly any confidence at all",2629.18326804,0.429693795750149
